	ID	SYSTEM	SUBSYSTEM	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB
									2obut[c]	1	1
									nh4[c]	1	1
	84	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	Cysteine degradation	0	cys_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]			so4[c]		
	85	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	Synthesis of cysteine from cystine	0	Lcystin[c]	1	1	cys_L[c]	2	2
						gthrd[c]	2	2	gthox[c]	1	1
	86	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	Synthesis of taurine from cysteine	0	cys_L[c]	2	2	taur[c]	2	2
						o2[c]	3	3	h[c]	4	4
						h[c]	4	4	co2[c]	2	2
	87	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	Glutamate synthesis	0	glc_D[c]	1	1	glu_L[c]	1	1
						nad[c]	2	2	nadh[c]	2	2
						adp[c]	2	2	atp[c]	2	2
						pi[c]	2	2	h2o[c]	2	2
						h2o[m]	1	1	co2[m]	2	3
						nad[m]	1	1	nadh[m]	1	1
						atp[m]	1	1	adp[m]	1	1
						hco3[m]	1	2	pi[m]	1	1
						nh4[m]	1	1	h[m]	1	1
						h[m]	1	1	h2o[m]	1	1
									h[c]	1	1
	88	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	Glutamate degradation	0	glu_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	89	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	Conversion of glutamate to glutamine	0	glu_L[c]	1	1	gln_L[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						nh4[c]	1	1	h[c]	1	1
									pi[c]	1	1
	90	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	Conversion of glutamate to proline	0	glu_L[m]	1	1	pro_L[m]	1	1
						atp[m]	1	1	adp[m]	1	1
						nadph[m]	2	2	nadp[m]	2	2
						h[m]	2	2	pi[m]	1	1
									h2o[m]	1	1
	91	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	Conversion of GABA into succinate	0	4abut[m]	1	1	succ[m]	1	1
						akg[m]	1	1	glu_L[m]	1	1
						h2o[m]	1	1	h[m]	2	2
						nad[m]	1	1	nadh[m]		
	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	Glutamine synthesis	0	glc_D[c]	1	1	gln_L[c]	1	1
						nad[c]	2	2	nadh[c]	2	2
						adp[c]	1	1	atp[c]	1	1
						pi[c]	1	1	h2o[c]	2	2
						h2o[m]	1	1	co2[m]	2	3
						nad[m]	1	1	nadh[m]	1	1
						atp[m]	1	1	adp[m]	1	1
						hco3[m]	1	2	pi[m]	1	1
						nh4[m]	1	1	h[m]	1	1
						nh4[c]			h2o[m]	1	1
						h[m]			h[c]	2	2
	93	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	Glutamine degradation	0	gln_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	94	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	Glutaminolysis (glutamine to lactate)	0	gln_L[m]	1	1	lac_L[m]	1	1
						adp[m]	1	1	atp[m]	1	1
						nad[m]	2	2	nadh[m]	2	2
						fad[m]	1	1	fadh2[m]	1	1
						pi[m]	1	1	nh4[m]	2	2
						h2o[m]	3	3	co2[m]	2	2
	95	AMINO ACIDS METABOLISM	GLUTATHIONE METABOLISM	Glutathionate synthesis	0	glu_L[c]	1	1	gthrd[c]	1	1
						cys_L[c]	1	1	adp[c]	2	2
						gly[c]	1	1	h[c]	2	2
						atp[c]	2	2	pi[c]	2	2
	96	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	Glycine synthesis	0	glc_D[c]	1	1	gly[c]	2	2
						glu_L[c]	2	2	mlthf[c]	2	2
						nad[c]	4	4	akg[c]	2	2
						h2o[c]	2	2	nadh[c]	4	4
						thf[c]	2	2	h[c]	6	6
									h2o[c]	2	2
	97	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	Glycine degradation	0	gly[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	98	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	Conversion of glycine to pyruvate	0	gly[c]	1	1	pyr[c]	1	1
						h2o[c]	1	1	thf[c]	1	1
						mlthf[c]	1	1	nh4[c]	1	1
	99	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	Histidine synthesis	1	glc_D[c]	1	1	his_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	100	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	Histidine degradation	0	his_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	101	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	Conversion of histidine to glutamate	0	his_L[c]	1	1	glu_L[c]	1	1
						h2o[c]	2	2	nh4[c]	1	1
						thf[c]	1	1	5forthf[c]	1	1
	102	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	Conversion of histidine to histamine	0	his_L[c]	1	1	hista[c]	1	1
						h[c]	1	1	co2[c]	1	1
	103	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	Homocysteine synthesis	1	glc_D[c]	1	1	hcys_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	104	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	Homocysteine synthesis (need methionine)	0	met_L[c]	1	1	hcys_L[c]	1	1
						gly[c]	1	1	sarcs[c]	1	1
						atp[c]	2	2	adp[c]	1	1
						h2o[c]	2	2	amp[c]	1	1
									pi[c]	1	1
									ppi[c]	1	1
									h[c]	2	2
	105	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	Homocysteine degradation	0	hcys_L[c]	1	1	cys_L[c]	1	1
						ser_L[c]	1	1	ppcoa[c]	1	1
						coa[c]	1	1	nh4[c]	1	1
						nad[c]	1	1	co2[c]	1	1
									nadh[c]	1	1
	106	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	Isoleucine synthesis	1	glc_D[c]	1	1	ile_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	107	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	Isoleucine degradation	0	ile_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	108	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	Leucine synthesis	1	glc_D[c]	1	1	leu_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	109	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	Leucine degradation	0	leu_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	110	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	Conversion of leucine to acetyl-coA	0	leu_L[m]	1	1	accoa[m]	1	1
						akg[m]	1	1	acac[m]	1	1
						coa[m]	1	1	glu_L[m]	1	1
						nad[m]	1	1	adp[m]	1	1
						fad[m]	1	1	h[m]	1	1
						atp[m]	1	1	pi[m]	1	1
						h2o[m]	1	1	co2[m]	1	1
						hco3[m]	1	1	nadh[m]	1	1
							1	1	fadh2[m]	1	1
	111	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Lysine synthesis	1	glc_D[c]	1	1	lys_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	112	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Lysine degradation	0	lys_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	113	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Conversion of lysine to L-Saccharopine	0	lys_L[m]	1	1	saccrp_L[m]	1	1
						akg[m]	1	1	h2o[m]	1	1
						h[m]	1	1	nadp[m]	1	1
						nadph[m]	1	1			
	114	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Conversion of lysine to L-2-Aminoadipate	0	lys_L[x]	1	1	L2aadp[c]	1	1
						h2o[x]	2	2	h2o2[x]	2	2
						o2[x]	2	2	nh4[x]	1	1
						nadh[x]	1	1	h[c]	1	1
						nad[c]	1	1	nad[x]	1	1
						h[x]	0	1	nadh[c]	1	1
	115	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	Methionine synthesis	1	glc_D[c]	1	1	met_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	116	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	Methionine degradation	0	met_L[c]	1	1	cys_L[c]	1	1
						ser_L[c]	1	2	ppcoa[c]	1	1
						atp[c]	2	2	atp[m]	1	1
						adp[m]	1	1	adp[c]	1	1
						pi[m]	1	1	amp[c]	1	1
						fad[m]	1	6	pi[c]	1	1
						coa[c]	1	1	ppi[c]	1	1
						nad[c]	2	2	fadh2[m]	1	6
						nad[m]	1	1	h2o[c]	1	1
						h2o[c]	3	3	nh4[c]	1	2
						h2o[m]	1	1	co2[c]	3	5
									nadh[c]	2	2
									nadh[m]	1	1
									h[m]	1	1
									h[c]	2	2
	117	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	S-adenosyl-L-methionine synthesis	0	met_L[c]	1	1	amet[c]	1	1
						atp[c]	1	1	pi[c]	1	1
						h2o[c]	1	1	ppi[c]	1	1
	118	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Ornithine degradation	0	orn[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	119	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Synthesis of ornithine from glutamine	0	gln_L[m]	2	2	orn[m]	1	1
						atp[m]	1	1	adp[m]	1	1
						h2o[m]	2	2	nadp[m]	1	1
						nadph[m]	1	1	akg[m]	1	1
						h[m]	1	1	nh4[m]	2	2
									pi[m]	1	1
	120	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Synthesis of spermidine from ornithine	0	orn[c]	1	1	spmd[c]	1	1
						met_L[c]	1	1	5mta[c]	1	1
						h[c]	1	1	co2[c]	2	2
						atp[c]	1	1	pi[c]	1	1
						h2o[c]	1	1	ppi[c]	1	1
	121	AMINO ACIDS METABOLISM	SERINE METABOLISM	Serine synthesis	0	glc_D[c]	1	1	ser_L[c]	2	2
						glu_L[c]	2	2	akg[c]	2	2
						nad[c]	4	4	nadh[c]	4	4
						h2o[c]	2	2	h[c]	6	6
	122	AMINO ACIDS METABOLISM	SERINE METABOLISM	Serine degradation	0	ser_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	123	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine synthesis	1	glc_D[c]	1	1	phe_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	124	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine degradation	0	phe_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	125	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to phenylacetaldehyde	0	phe_L[c]	1	1	pacald[c]	1	1
						h[c]	1	1	co2[c]	1	1
						h2o[c]	1	1	h2o2[c]	1	1
						o2[c]	1	1	nh4[c]	1	1
	126	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to phenylacetyl-L-glutaminate	0	phe_L[c]	1	1	pheacgln[c]	1	1
						h2o[c]	2	2	h2o2[c]	1	1
						o2[c]	1	1	nh4[c]	1	1
						nad[c]	1	1	h[c]	1	1
						atp[c]	1	1	nadh[c]	1	1
						gln_L[c]	1	1	amp[c]	1	1
									co2[c]	1	1
									ppi[c]	1	1
	127	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to tyrosine	0	phe_L[c]	1	1	tyr_L[c]	1	1
						o2[c]	1	1	thbpt4acam[c]	1	1
						thbpt[c]	1	1			
	128	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Proline synthesis	0	glc_D[c]	1	1	pro_L[m]	1	1
						atp[m]	1	2	nadh[c]	2	2
						nad[c]	2	2	atp[c]	2	2
						adp[c]	2	2	co2[m]	2	2
						pi[c]	2	2	adp[m]	1	2
						hco3[m]	1	1	pi[m]	1	2
						nh4[m]	1	1	h2o[m]	2	2
						nadph[m]	1	1	h2o[c]	2	2
									nadp[m]	1	1
	129	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Proline degradation	0	pro_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	130	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Synthesis of proline from glutamine	0	gln_L[m]	1	1	pro_L[m]	1	1
						atp[m]	1	1	adp[m]	1	1
						h[m]	2	2	nad[m]	1	1
						nadh[m]	1	1	nadp[m]	1	1
						nadph[m]	1	1	nh4[m]	1	1
									pi[m]	1	1
	131	AMINO ACIDS METABOLISM	THREONINE METABOLISM	Threonine synthesis	1	glc_D[c]	1	1	thr_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	132	AMINO ACIDS METABOLISM	THREONINE METABOLISM	Threonine degradation	0	thr_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	133	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Tryptophan synthesis	1	glc_D[c]	1	1	trp_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	134	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Tryptophan degradation	0	trp_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	135	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of anthranilate from tryptophan	0	trp_L[c]	1	1	anth[c]	1	1
						o2[c]	1	1	for[c]	1	1
						h2o[c]	2	2	h[c]	2	2
									ala_L[c]	1	1
	136	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of kynate from tryptophan	0	trp_L[c]	1	1	kynate[c]	1	1
						o2[c]	1	1	for[c]	1	1
						akg[c]	1	1	glu_L[c]	1	1
									h[c]	1	1
	137	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of L-kynurenine from tryptophan	0	trp_L[c]	1	1	Lkynr[c]	1	1
						o2[c]	1	1	h[c]	1	1
						h2o[c]	1	1	for[c]	1	1
	138	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of N-formylanthranilate from tryptophan	0	trp_L[c]	1	1	nformanth[c]	1	1
						o2[c]	1	1	h[c]	1	1
						h2o[c]	1	1	ala_L[c]	1	1
	139	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of quinolinate from tryptophan	0	trp_L[c]	1	1	quln[c]	1	1
						nadph[c]	1	1	ala_L[c]	1	1
						o2[c]	3	3	for[c]	1	1
									nadp[c]	1	1
									h[c]	2	2
	140	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of serotonin from tryptophan	0	trp_L[c]	1	1	srtn[c]	1	1
						thbpt[c]	1	1	thbpt4acam[c]	1	1
						o2[c]	1	1	co2[c]	1	1
						h[c]	1	1			
	141	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine synthesis	1	glc_D[c]	1	1	tyr_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	142	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine synthesis (need phenylalanine)	0	phe_L[c]	1	1	tyr_L[c]	1	1
						o2[c]	1	1	h2o[c]	1	1
						h[c]	1	1	nad[c]	1	1
						nadh[c]	1	1	h[c]	1	1
	143	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine degradation	0	tyr_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	144	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to adrenaline	0	tyr_L[c]	2	2	adrnl[c]	2	2
						o2[c]	3	3	co2[c]	2	2
						ascb_L[c]	2	2	h2o[c]	2	2
						amet[c]	2	2	ahcys[c]	2	2
									dhdascb[c]	2	2
	145	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to dopamine	0	tyr_L[c]	2	2	dopa[c]	2	2
						o2[c]	1	1	co2[c]	2	2
						h[c]	2	2			
	146	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to acetoacetate and fumarate	0	tyr_L[c]	1	1	fum[c]	1	1
						akg[c]	1	1	acac[c]	1	1
						o2[c]	2	2	co2[c]	1	1
						h2o[c]	1	1	h[c]	2	2
									glu_L[c]	1	1
	147	AMINO ACIDS METABOLISM	VALINE METABOLISM	Valine synthesis	1	glc_D[c]	1	1	val_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
									pi[c]		
	148	AMINO ACIDS METABOLISM	VALINE METABOLISM	Valine degradation	0	val_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	149	AMINO ACIDS METABOLISM	VALINE METABOLISM	Valine to succinyl-coA	0	val_L[m]	1	1	succoa[m]	1	1
						akg[m]	1	1	glu_L[m]	1	1
						coa[m]	1	1	fadh2[m]	1	1
						fad[m]	1	1	co2[m]	1	1
						h2o[m]	2	2	h[m]	3	3
						nad[m]	3	3	nadh[m]	3	3
	150	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Hydroxymethylglutaryl-CoA synthesis	0	glc_D[c]	3	3	hmgcoa[m]	2	2
						coa[m]	2	2	atp[c]	6	6
						adp[c]	6	6	nadh[c]	6	6
						pi[c]	6	6	nadh[m]	6	6
						nad[m]	6	6	h2o[c]	6	6
						nad[c]	6	6	co2[m]	6	6
						h2o[m]	2	2	h[m]	8	8
	151	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Cholesterol synthesis	0	frdp[c]	2	2	chsterol[c]	1	1
						h[c]	9	9	ppi[c]	2	2
						nadph[c]	10	15	for[c]	1	1
						o2[c]	9	13	nadp[c]	10	15
						nad[c]	0	2	h2o[c]	7	11
						fadh2[c]	1	1	nadh[c]	0	2
									co2[c]	2	2
									fad[c]	1	1
	152	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Acetoacetate synthesis	0	glc_D[c]	1	1	acac[m]	1	1
						nad[c]	2	2	nadh[c]	2	2
						nad[m]	2	2	nadh[m]	2	2
						adp[c]	2	2	atp[c]	2	2
						pi[c]	2	2	co2[m]	2	2
						h2o[m]	1	1	h[m]	3	3
									h2o[c]	2	2
	153	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Mevalonate synthesis	0	hmgcoa[c]	1	1	mev_R[c]	1	1
						h[c]	2	2	coa[c]	1	1
						nadph[c]	2	2	nadp[c]	2	2
	154	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Farnesyl-pyrophosphate synthesis	0	mev_R[c]	3	3	frdp[c]	1	1
						atp[c]	9	9	co2[c]	3	3
									adp[c]	9	9
									pi[c]	3	3
									ppi[c]	2	2
									h[c]	3	3
	155	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Glycerol-3-phosphate synthesis	0	dhap[c]	1	1	glyc3p[c]	1	1
						h[c]	1	1	nad[c]	1	1
						nadh[c]	1	1			
	156	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-choline synthesis	0	glc_D[c]	1	17	pchol_hs[c]	1	2
						chol[c]	0	2	nadh[m]	0	32
						nadph[c]	0	56	nadh[c]	0	30
						atp[c]	0	14	nadp[c]	0	56
						hco3[c]	0	28	amp[c]	0	16
						h[c]	0	26	ppi[c]	0	16
						lnlnca[c]	0		co2[c]	0	28
						lnlc[c]	0		h2o[c]	0	62
						o2[c]	0		co2[m]	0	32
						nad[m]	0	32	h[m]	0	32
						nad[c]	0	30			
						adp[c]	0	2			
						pi[c]	0	4			
	157	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-ethanolamine synthesis	0	glc_D[c]	1	17	pe_hs[c]	1	2
						etha[c]	0	2	nadh[c]	0	30
						adp[c]	0	12	nadh[m]	0	32
						nad[c]	0	30	nadp[c]	0	56
						nad[m]	0	32	amp[c]	0	16
						pi[c]	0	4	co2[c]	0	28
						nadph[c]	0	56	h2o[c]	0	60
						atp[c]	0	4	ppi[c]	0	18
						hco3[c]	0	28	cmp[c]	0	2
						h[c]	0	24	co2[m]	0	32
						ctp[c]	0	2	h[m]	0	32
						lnlnca[c]	0				
						lnlc[c]	0				
						o2[c]	0				
	158	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-serine synthesis	0	glc_D[c]	1	17	ps_hs[c]	1	2
						ser_L[c]	0	2	nadh[c]	0	30
						adp[c]	0	2	nadh[m]	0	32
						pi[c]	0	4	nadp[c]	0	56
						nad[c]	0	30	amp[c]	0	16
						nad[m]	0	32	ppi[c]	0	16
						nadph[c]	0	56	co2[c]	0	28
						atp[c]	0	14	h2o[c]	0	62
						hco3[c]	0	28	co2[m]	0	32
						h[c]	0	26	h[m]	0	32
						lnlnca[c]	0				
						lnlc[c]	0				
						o2[c]	0				
	159	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-inositol synthesis	0	glc_D[c]	1	17	pail_hs[c]	1	2
						nadph[c]	0	56	co2[c]	0	28
						nad[c]	0	30	h2o[c]	0	60
						nad[m]	0	32	nadp[c]	0	56
						atp[c]	0	14	ppi[c]	0	18
						hco3[c]	0	28	nadh[c]	0	30
						inost[c]	0	2	nadh[m]	0	32
						h[c]	0	24	amp[c]	0	16
						adp[c]	0	2	cmp[c]	0	2
						pi[c]	0	4	coa[c]	0	2
						lnlnca[c]	0		co2[m]	0	32
						lnlc[c]	0		h[m]	0	32
						o2[c]	0				
	160	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Cardiolipin synthesis	0	glc_D[c]	1	17.5	clpn_hs[c]	1	1
						nadph[c]	0	56	co2[c]	0	28
						atp[c]	0	15	h2o[c]	0	59
						hco3[c]	0	28	nadp[c]	0	56
						nad[c]	0	29	cmp[c]	0	2
						nad[m]	0	32	ppi[c]	0	19
						adp[c]	0	1	nadh[c]	0	29
						pi[c]	0	3	nadh[m]	0	32
						h[c]	0	28	amp[c]	0	16
						lnlnca[c]	0		co2[m]	0	32
						lnlc[c]	0		h[m]	0	32
						o2[c]	0				
	161	LIPIDS METABOLISM	TRIACYLGLYCEROL METABOLISM	Triacylglycerol synthesis	0	glc_D[c]	0	12.5	tag_hs[c]	1	1
						nadph[c]	0	42	co2[c]	0	21
						nad[c]	0	23	h2o[c]	0	32
						nad[m]	0	24	nadp[c]	0	42
						h[c]	0	18	nadh[c]	0	23
						atp[c]	0	10	nadh[m]	0	24
						hco3[c]	0	21	adp[c]	0	9
						lnlnca[c]	0		pi[c]	0	9
						lnlc[c]	0		amp[c]	0	12
						o2[c]	0		ppi[c]	0	12
									h[m]	0	24
									co2[m]	0	24
	162	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	Sphingomyelin synthesis	0	glc_D[c]	1	8	sphmyln_hs[c]	1	1
						nadph[c]	0	28	co2[c]	0	15
						atp[c]	0	6	h2o[c]	0	22
						hco3[c]	0	15	nadp[c]	0	28
						ser_L[c]	0	1	nadh[c]	0	16
						h[c]	0	12	nadh[m]	0	16
						adp[c]	0	1	amp[c]	0	8
						pi[c]	0	2	cmp[c]	0	1
						nad[c]	0	16	ppi[c]	0	9
						nad[m]	0	16	co2[m]	0	16
						chol[c]	0		h[m]	0	16
						ctp[c]	0				
						lnlnca[c]	0				
						lnlc[c]	0				
						o2[c]	0				
	163	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	Ceramide synthesis	0	glc_D[c]	1	8	crm_hs[c]	1	1
						ser_L[c]	0	1	nadh[c]	0	16
						nadph[c]	0	29	nadh[m]	0	16
						atp[c]	0	6	co2[c]	0	15
						hco3[c]	0	14	h2o[c]	0	22
						fad[c]	0	1	nadp[c]	0	29
						h[c]	0	13	co2[m]	0	16
						pi[c]	0	2	fadh2[c]	0	1
						nad[c]	0	16	amp[c]	0	8
						nad[m]	0	16	ppi[c]	0	8
						adp[c]	0	2	h[m]	0	16
						lnlnca[c]	0				
						lnlc[c]	0				
						o2[c]	0				
	164	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitate synthesis	0	glc_D[c]	4	4	hdca[c]	1	1
						nadph[c]	14	14	nadp[c]	14	14
						nad[c]	16	16	nadh[c]	16	16
						atp[c]	7	7	adp[c]	7	7
						hco3[c]	7	7	co2[c]	15	15
									h[c]	3	3
									pi[c]	7	7
									h2o[c]	6	6
	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitate degradation	0	hdca[c]	1	1	accoa[c]	8	8
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	166	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitolate synthesis	0	glc_D[c]	4	4	hdcea[c]	1	1
						nadph[c]	14	14	nadp[c]	14	14
						nad[c]	15	15	nadh[c]	15	15
						atp[c]	7	7	adp[c]	7	7
						hco3[c]	7	7	co2[c]	15	15
						o2[c]	1	1	h[c]	2	2
									pi[c]	7	7
									h2o[c]	8	8
	167	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitolate degradation	0	hdcea[c]	1	1	accoa[c]	8	8
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	168	LIPIDS METABOLISM	FATTY ACID METABOLISM	cis-vaccenic acid synthesis	0	glc_D[c]	9	9	vacc[c]	2	2
						nadph[c]	32	32	co2[c]	34	34
						atp[c]	16	16	h2o[c]	18	18
						nad[c]	34	34	nadp[c]	32	32
						hco3[c]	16	16	nadh[c]	34	34
						o2[c]	2	2	adp[c]	16	16
									pi[c]	16	16
									h[c]	4	4
