id	SYSTEM	SUBSYSTEM	DESCRIPTION	ORIGINAL.SOURCE	COMMENTS	REFERENCE	PATHWAYS.USED
X138	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Cholesterol synthesis	recon2 (163 and 309)	All animal cells manufacture cholesterol, for both membrane structure and other uses, with relative production rates varying by cell type and organ function. (https://en.wikipedia.org/wiki/Cholesterol#Biosynthesis)	PAGE 107-108	HMGCOARx (Hydroxymethylglutaryl CoA reductase (ir) - (2) h + hmgcoa + (2) nadph --> coa + mev-R + (2) nadp) - MEVK1x (mevalonate kinase (atp)- atp + mev-R --> 5pmev + adp + h) - PMEVKx (phosphomevalonate kinase - 5pmev + atp --> 5dpmev + adp) - DPMVDx (diphosphomevalonate decarboxylase - 5dpmev + atp --> adp + co2 + ipdp + pi) - IPDDIx (isopentenyl-diphosphate D-isomerase - ipdp <==> dmpp) - DMATTx (dimethylallyltranstransferase - dmpp + ipdp --> grdp + ppi) - GRTTx (geranyltranstransferase - grdp + ipdp --> frdp + ppi) - SQLSr (Squalene synthase - (2) frdp + h + nadph --> nadp + (2) ppi + sql) - SQLEr (Squalene epoxidase, endoplasmic reticular (NADP) - h + nadph + o2 + sql --> Ssq23epx + h2o + nadp) - LNSTLSr ( lanosterol synthase- Ssq23epx --> lanost) - LNS14DMr (cytochrome P450 lanosterol 14-alpha-demethylase - (2) h + lanost + (3) nadph + (3) o2 --> 44mctr + for + (4) h2o + (3) nadp) - C14STRr (C-14 sterol reductase - 44mctr + h + nadph --> 44mzym + nadp) - C4STMO1r (C-4 sterol methyl oxidase (4,4-dimethylzymosterol) - 44mzym + (3) h + (3) nadph + (3) o2 --> 4mzym_int1 + (4) h2o + (3) nadp) - C3STDH1r (C-3 sterol dehydrogenase (4-methylzymosterol)- 4mzym_int1 + nad --> 4mzym_int2 + co2 + h + nadh) - C4STMO2r (C-4 methyl sterol oxidase- 4mzym_int2 + nad + o2 --> co2 + h + nadh + zym_int2) - C3STKR2r (C-3 sterol keto reductase (zymosterol) - h + nadph + zym_int2 --> nadp + zymst) - EBP1r (3-beta-hydroxysteroid-delta(8),delta(7)-isomerase- zymst --> chlstol) - DHCR242r (24-dehydrocholesterol reductase -chlstol + fadh2 --> fad + lthstrl) - LSTO2r (Lathosterol oxidase- h + lthstrl + nadph + o2 --> 7dhchsterol + (2) h2o + nadp) - DHCR72r (7-dehydrocholesterol reductase - 7dhchsterol + h + nadph --> chsterol + nadp)
X139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Acetoacetate synthesis	iHSA (119)	Acetoacetate is an intermediate in the metabolism of fatty acids in most organisms.	PAGE 107-108	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) ACACT1 (acetyl-CoA C-acetyltransferase- (2) accoa --> aacoa + coa) - HMGCOASi (Hydroxymethylglutaryl CoA - aacoa + accoa + h2o --> coa + h + hmgcoa) - HMGLm (hydroxymethylglutaryl-CoA lyase hmgcoa --> acac + accoa)
X14	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxycytidine triphosphate synthesis (dCTP)	iHSA (15)/recon2 (95)	The same enzymes that reduce purine ribonucleotides to deoxyribonucleotides also act on pyrimidine nucleotides. These conversions are subject to mutual control by the other nucleotides. In addition to reduction of UDP, deoxyuridine phosphates can also be formed via deoxycytidine phosphates	PAGE 131-133	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), UMP pathways (CBPS, ASPCTr, DHORTS,DHORD9,ORPT,OMPDC,UMPK, NDPK2 and CTPS1) and dCTP formation (RNDR3,NDPK7)
X140	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Mevalonate synthesis	new	It is the key reaction for cholesterol biosynthesis and is therefore strictly regulated. Mevalonic acid is a precursor in the biosynthetic pathway known as the mevalonate pathway that produces terpenes and steroids.	PAGE 107-108	HMGCOARx (Hydroxymethylglutaryl CoA reductase - (2) h + hmgcoa + (2) nadph --> coa + mev-R + (2) nadp) -
X141	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Farnesyl-pyrophosphate synthesis	iHSA (121)	Farnesyl pyrophosphate (FPP), also known as farnesyl diphosphate (FDP), is an intermediate in both the mevalonate and non-mevalonate pathways used by organisms in the biosynthesis of terpenes, terpenoids, and sterols.	PAGE 108	HMGCOARx (Hydroxymethylglutaryl CoA reductase (ir) - (2) h + hmgcoa + (2) nadph --> coa + mev-R + (2) nadp) - MEVK1x (mevalonate kinase (atp)- atp + mev-R --> 5pmev + adp + h) - PMEVKx (phosphomevalonate kinase - 5pmev + atp --> 5dpmev + adp) - DPMVDx (diphosphomevalonate decarboxylase - 5dpmev + atp --> adp + co2 + ipdp + pi) - IPDDIx (isopentenyl-diphosphate D-isomerase - ipdp <==> dmpp) - DMATTx (dimethylallyltranstransferase - dmpp + ipdp --> grdp + ppi) - GRTTx (geranyltranstransferase - grdp + ipdp --> frdp + ppi)
X142	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Glycerol-3-phosphate synthesis	new	Glycerol 3-phosphate is synthesized by reducing dihydroxyacetone phosphate (DHAP), a glycolysis intermediate, These two molecules can permeate the mitochondrial outer membrane through porins and shuttle between two dehydrogenases. Using this shuttle system, NADH generated by cytosolic metabolisms including glycolysis is reoxidized to NAD+ reducing DHAP to G3P, and the reducing equivalent can be used for generating a proton gradient across the mitochondrial inner membrane by coupling and oxidizing G3P and reducing quinone.	PAGE 38	G3PD1 (glycerol-3-phosphate dehydrogenase (NAD) - glyc3p + nad <==> dhap + h + nadh)
X143	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-choline synthesis	iHSA (104)/recon2(334)	Choline and its metabolites are needed for several physiological purposes, including cell membrane signaling and cholinergic neurotransmission.	PAGE 100 -- https://en.wikipedia.org/wiki/Lecithin -- Linolenate and linoleate are necessary for IHsa and Irno	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi) - CHOLK (Choline kinase - atp + chol --> adp + cholp + h) - CHLPCTD (choline phosphate cytididyltransferase - cholp + ctp + h --> cdpchol + ppi) - CEPTC (choline phosphotransferase - cdpchol + dag_hs --> cmp + h + pchol_hs) - G3PD1 (glycerol-3-phosphate dehydrogenase (NAD) - glyc3p + nad <==> dhap + h + nadh) - PPAP (phosphatidic acid - h2o + pa_hs --> dag_hs + pi) - AGPAT1 (1-acylglycerol-3-phosphate O-acyltransferase 1 - Rtotal2coa + alpa_hs --> coa + pa_hs) - GPAM_hs (glycerol-3-phosphate - Rtotalcoa + glyc3p --> alpa_hs + coa) - ARTPLM1 (R group to palmitate conversion - Rtotalcoa <==> pmtcoa ) - ARTPLM2 (R group to palmitate conversion - Rtotal2coa <==> pmtcoa) -final eq - 17 glc_D + 56 nadph + 36atp + 62nad + 28 hco3 + 2chol + 2ctp --> 60 co2 + 22 h2o + 56 nadp + 4amp + 6ppi + 62 nadh + 32adp + 14h + 30pi + 2cmp + 2 pchol_hs
X144	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-ethanolamine synthesis	iHSA (105)/recon2 (64)	Phosphatidylethanolamines (PE) are a class of phospholipids found in biological membranes, which acts as an important precursor, substrate, or donor in several biological pathways.	PAGE 100 -- https://en.wikipedia.org/wiki/Phosphatidylethanolamine#Synthesis -- Linolenate and linoleate are necessary for IHsa and Irno	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi) - - G3PD1 (glycerol-3-phosphate dehydrogenase (NAD) - glyc3p + nad <==> dhap + h + nadh) - PPAP (phosphatidic acid - h2o + pa_hs --> dag_hs + pi) - AGPAT1 (1-acylglycerol-3-phosphate O-acyltransferase 1 - Rtotal2coa + alpa_hs --> coa + pa_hs) - GPAM_hs (glycerol-3-phosphate - Rtotalcoa + glyc3p --> alpa_hs + coa) - ARTPLM1 (R group to palmitate conversion - Rtotalcoa <==> pmtcoa ) - ARTPLM2 (R group to palmitate conversion - Rtotal2coa <==> pmtcoa)- ETHAK (Ethanolamine kinase - atp + etha --> adp + ethamp + h) - PETHCT (phosphoethanolamine cytidyltransferase - ctp + ethamp + h --> cdpea + ppi) -CEPTE (ethanolamine phosphotransferase - cdpea + dag_hs --> cmp + h + pe_hs) -final equ - 17 glc_D + 56 nadph + 36atp + 62nad + 28 hco3 + 2etha + 2ctp --> 2pe_hs + 60 co2 + 22 h2o + 56 nadp + 4amp + 6ppi + 62nadh + 32adp + 14h + 30pi + 2cmp
X145	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-serine synthesis	iHSA (106)	Phosphatidylserine (PS) is a phospholipid and is a component of the cell membrane. It plays a key role in cell cycle signaling, specifically in relationship to apoptosis.	PAGE 100 -- https://en.wikipedia.org/wiki/Phosphatidylethanolamine#Synthesis -- Linolenate and linoleate are necessary for IHsa and Irno	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi) - CHOLK (Choline kinase - atp + chol --> adp + cholp + h) - CHLPCTD (choline phosphate cytididyltransferase - cholp + ctp + h --> cdpchol + ppi) - CEPTC (choline phosphotransferase - cdpchol + dag_hs --> cmp + h + pchol_hs) - G3PD1 (glycerol-3-phosphate dehydrogenase (NAD) - glyc3p + nad <==> dhap + h + nadh) - PPAP (phosphatidic acid - h2o + pa_hs --> dag_hs + pi) - AGPAT1 (1-acylglycerol-3-phosphate O-acyltransferase 1 - Rtotal2coa + alpa_hs --> coa + pa_hs) - GPAM_hs (glycerol-3-phosphate - Rtotalcoa + glyc3p --> alpa_hs + coa) - ARTPLM1 (R group to palmitate conversion - Rtotalcoa <==> pmtcoa ) - ARTPLM2 (R group to palmitate conversion - Rtotal2coa <==> pmtcoa)- PSSA1_hs (Phosphatidylserine synthase homo sapiens - pchol_hs + ser-L <==> chol + ps_hs) -final eq - 17 glc_D + 56 nadph + 36atp + 62nad + 28 hco3 + 2ser_L + 2ctp --> 60 co2 + 22 h2o + 56 nadp + 4amp + 6ppi + 62 nadh + 32adp + 14h + 30pi + 2cmp + 2 ps_hs
X146	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Phosphatidyl-inositol synthesis	iHSA (107)/recon2 (173)	Phosphatidylinositol consists of a family of lipids (class of the phosphatidylglycerides). Typically phosphatidylinositols form a minor component on the cytosolic side of eukaryotic cell membranes.	PAGE 100 /Linolenate and linoleate are necessary for IHsa and Irno	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi) - - G3PD1 (glycerol-3-phosphate dehydrogenase (NAD) - glyc3p + nad <==> dhap + h + nadh) - PPAP (phosphatidic acid - h2o + pa_hs --> dag_hs + pi) - AGPAT1 (1-acylglycerol-3-phosphate O-acyltransferase 1 - Rtotal2coa + alpa_hs --> coa + pa_hs) - GPAM_hs (glycerol-3-phosphate - Rtotalcoa + glyc3p --> alpa_hs + coa) - ARTPLM1 (R group to palmitate conversion - Rtotalcoa <==> pmtcoa ) - ARTPLM2 (R group to palmitate conversion - Rtotal2coa <==> pmtcoa) - CDIPTr (phosphatidylinositol synthase (Homo sapiens) - cdpdag_hs + inost <==> cmp + h + pail_hs) - DAGK_hs (Diacylglycerol phosphate kinase - atp + dag_hs <==> adp + h + pa_hs) -CDS (phosphatidate cytidylyltransferase - ctp + h + pa_hs --> cdpdag_hs + ppi) - final eq - 17 glc_D + 56 nadph + 36atp + 62nad + 28 hco3 + 2inost + 2ctp --> 60 co2 + 22 h2o + 56 nadp + 4amp + 6ppi + 62nadh + 32adp + 14h + 30pi + 2cmp + 2pail_hs
X147	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	Cardiolipin synthesis	iHSA (108)	Cardiolipin is an important component of the inner mitochondrial membrane, where it constitutes about 20% of the total lipid composition.	PAGE 100 /Linolenate and linoleate are necessary for IHsa and Irno	CLS_hs (cardiolipin synthase (homo sapiens) - cdpdag_hs + pglyc_hs --> clpn_hs + cmp + h)
X149	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	Sphingomyelin synthesis	iHSA (109)/recon2 (219)	Sphingomyelin is a type of sphingolipid found in animal cell membranes, especially in the membranous myelin sheath that surrounds some nerve cell axons.	PAGE 103  //https://en.wikipedia.org/wiki/Ceramide  // Linolenate and linoleate are necessary for IHsa and Irno	SMS (Sphingomyelin synthase (homo sapiens) - crm_hs + pchol_hs --> dag_hs + sphmyln_hs)
X15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyguanosine triphosphate synthesis (dGTP)	iHSA (16)/recon2 (99)	The conversion of the purine diphosphoribonucleotides, as well as of pyrimidine diphosphoribonucleotides (NDP) into the respective diphospho-2¢deoxyribonucleotides (dNDP) is catalyzed by ribonucleoside-diphosphate reductase according to the general formula NDP + protein(SH)2 = dNDP + protein(SS) + H2O where the dithiol (-SH)2 is converted to a disulfide (-S-S-). After phosphorylation, the dNTPs are used for incorporation into DNA. Control mechanisms acting on the reductase and the DNA polymerase keep the dNTP pools small. By means of additional regulation systems, the optimum concentration ratios of all four deoxyribonucleotides have to be kept at a certain level, since this is a prerequisite for a high fidelity of DNA replication. -- In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide.	PAGE 126-128	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), IMP pathways (GLUPRT,PRAGSr,GARFT,PRFGS,PRAIS,AIRCr, PRASCS,ADSL2,AICART, IMPC), GTP met pathway (GMPR,GK1,NDPK1) and dGTP formation (RNDR2, NDPK5)
X150	LIPIDS METABOLISM	SPHINGOLIPID METABOLISM	Ceramide synthesis	iHSA (110 and 218)	Ceramides are found in high concentrations within the cell membrane of cells, since they are component lipids that make up sphingomyelin, one of the major lipids in the lipid bilayer.	PAGE 103 //https://en.wikipedia.org/wiki/Ceramide  // Linolenate and linoleate are necessary for IHsa and Irno	SERPT (serine C-palmitoyltransferase - h + pmtcoa + ser-L --> 3dsphgn + co2 + coa) - 3DSPHR (3-Dehydrosphinganine reductase - 3dsphgn + h + nadph --> nadp + sphgn) - DSAT (dihydrosphingosine N-acyltransferase - Rtotalcoa + sphgn --> coa + dhcrm_hs + h) - DHCRD1 (dihydroceramide desaturase - dhcrm_hs + nadp --> crm_hs + h + nadph)
X151	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitate synthesis	iHSA (129)	In animals, the de novo biosynthesis of fatty acids in cytosol ends with Palmitate, which will be further lengthened to produce many of the other fatty acids.	PAGE 93	ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp)
X152	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitate degradation	iHSA (188)	Oxidation (β-oxidation) of fatty acid provides a major source of energy, especially for the heart and skeletal muscle of mammals.	PAGE 98	FACOAL160i ( atp + coa + hdca --> amp + pmtcoa + ppi) - DESAT16_2 (palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA) - h + nadh + o2 + pmtcoa --> (2) h2o + hdcoa + nad) - FAOXC16080m ( (4) coa + (4) fad + (4) h2o + (4) nad + hdcoa --> (4) accoa + (4) fadh2 + (4) h + (4) nadh + occoa - FAOXC80 (Beta oxidation of med/long chain fatty acid - (3) coa + (3) fad + (3) h2o + (3) nad + occoa --> (4) accoa + (3) fadh2 + (3) h + (3) nadh))
X153	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitolate synthesis	iHSA (130)	Palmitoleate (a.k.a. Palmitoleic acid), which is biosynthesized from palmitate, is a common constituent of the glycerides of human adipose tissue.	https://www.ncbi.nlm.nih.gov/pubmed/23324899	ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi) - DESAT16_2 (palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA) - h + nadh + o2 + pmtcoa --> (2) h2o + hdcoa + nad) -FACOAL161 (fatty-acid--CoA ligase (hexadecenoate) - atp + coa + hdcea <==> amp + hdcoa + ppi)
X154	LIPIDS METABOLISM	FATTY ACID METABOLISM	Palmitolate degradation	iHSA (198)	The unsaturated fatty acids (palmitoleate) are found in our high fat diets, and complete oxidation of palmitoleate is majorly the same with β-oxidation but need two additional enzymes, an isomerase and a reductase.	https://doi.org/10.1016/S0167-7306(02)36007-1	FACOAL161 (fatty-acid--CoA ligase - atp + coa + hdcea <==> amp + hdcoa + ppi) - FACOAL160i ( atp + coa + hdca --> amp + pmtcoa + ppi) - DESAT16_2 (palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA) - h + nadh + o2 + pmtcoa --> (2) h2o + hdcoa + nad) - FAOXC16080m ( (4) coa + (4) fad + (4) h2o + (4) nad + hdcoa --> (4) accoa + (4) fadh2 + (4) h + (4) nadh + occoa - FAOXC80 (Beta oxidation of med/long chain fatty acid - (3) coa + (3) fad + (3) h2o + (3) nad + occoa --> (4) accoa + (3) fadh2 + (3) h + (3) nadh))
X155	LIPIDS METABOLISM	FATTY ACID METABOLISM	cis-vaccenic acid synthesis	iHSA (137)		http://www.hmdb.ca/metabolites/HMDB03231	FAS180COA (fatty-acyl-CoA synthase (n-C18:0CoA) - (3) h + malcoa + (2) nadph + pmtcoa --> co2 + coa + h2o + (2) nadp + stcoa) - DESAT18_4 (stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA) - h + nadh + o2 + stcoa --> (2) h2o + nad + vacccoa) - FACOAL1812 (fatty-acid--CoA ligase - atp + coa + vacc <==> amp + ppi + vacccoa)
X156	LIPIDS METABOLISM	FATTY ACID METABOLISM	cis-vaccenic acid degradation	iHSA (196)			FAOXC1811602m (Beta oxidation fatty acid - (5) coa + (4) fad + (5) h2o + (5) nad + vacccoa --> (5) accoa + (4) fadh2 + (5) h + (5) nadh + occoa) - FAOXC80 (Beta oxidation of med/long chain fatty acid - (3) coa + (3) fad + (3) h2o + (3) nad + occoa --> (4) accoa + (3) fadh2 + (3) h + (3) nadh)) - FACOAL1812 (fatty-acid--CoA ligase- atp + coa + vacc <==> amp + ppi + vacccoa)
X157	LIPIDS METABOLISM	FATTY ACID METABOLISM	Elaidate synthesis	iHSA (139)	Elaidate is an an unsaturated fatty acid.This compound has attracted attention because it is a major trans fat found in hydrogenated vegetable oils, and trans fats are implicated in heart disease.	http://pubs.acs.org/doi/pdf/10.1021/ja01322a033	FAS180COA (fatty-acyl-CoA synthase (n-C18:0CoA) - (3) h + malcoa + (2) nadph + pmtcoa --> co2 + coa + h2o + (2) nadp + stcoa) - DESAT18_5 (stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA) - h + nadh + o2 + stcoa --> (2) h2o + nad + od2coa) -FACOAL1813 (fatty-acid--CoA ligase - atp + coa + elaid <==> amp + od2coa + ppi)
X158	LIPIDS METABOLISM	FATTY ACID METABOLISM	Elaidate degradation	iHSA (198)	Elaidate is an an unsaturated fatty acid.This compound has attracted attention because it is a major trans fat found in hydrogenated vegetable oils, and trans fats are implicated in heart disease.		FACOAL1813 (fatty-acid--CoA ligase - atp + coa + elaid <==> amp + od2coa + ppi) -FAOXC1811601m (Beta oxidation fatty acid -(5) coa + (4) fad + (5) h2o + (5) nad + od2coa --> (5) accoa + (4) fadh2 + (5) h + (5) nadh + occoa) - FAOXC80 (Beta oxidation of med/long chain fatty acid - (3) coa + (3) fad + (3) h2o + (3) nad + occoa --> (4) accoa + (3) fadh2 + (3) h + (3) nadh))
X159	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linolenate degradation	iHSA (217)	In animals, Linolenate (alpha-/gamma-Linolenate) is the precursor for the production of very long polyunsaturated omega-3 fatty acids such as eicosapentaenoic acid (EPA) and docosapentaenoic acid (DPA).	http://www.tuscany-diet.net/lipids/list-of-fatty-acids/alpha-linolenic/	FACOAL1832 (fatty-acid--CoA ligase - atp + coa + lnlnca <==> amp + lnlncacoa + ppi) - FAOXC183803m (Beta oxidation of fatty acid - (5) coa + (2) fad + (5) h2o + lnlncacoa + (5) nad --> (5) accoa + (2) fadh2 + (5) h + (5) nadh + occoa)
X16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyuridine triphosphate synthesis (dUTP)	new	The same enzymes that reduce purine ribonucleotides to deoxyribonucleotides also act on pyrimidine nucleotides. These conversions are subject to mutual control by the other nucleotides. In addition to reduction of UDP, deoxyuridine phosphates can also be formed via deoxycytidine phosphates -- In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide.	PAGE 131-133	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), UMP pathways (CBPS, ASPCTr, DHORTS,DHORD9,ORPT,OMPDC,UMPK, NDPK2 and CTPS1) and dUTP formation (RNDR4, NDPK6)
X160	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linoleate degradation	iHSA (229)	Linoleate is a polyunsaturated fatty acid used in the biosynthesis of gamma-Linolenate, dihomo-gamma-linolenate, and Arachidonate.	https://doi.org/10.1016/S0167-7306(02)36007-1	FAOXC182806m (Beta oxidation of fatty acid - (5) coa + (3) fad + (5) h2o + lnlccoa + (5) nad --> (5) accoa + (3) fadh2 + (5) h + (5) nadh + occoa)
X162	LIPIDS METABOLISM	FATTY ACID METABOLISM	gamma-Linolenate degradation	iHSA (230)	The step that convert gamma-Linolenate to dihomo-gamma-linolenate.	https://doi.org/10.1016/S0167-7306(02)36007-1	FAOXC2031836m (Beta oxidation of fatty acid - coa + dlnlcgcoa + fad + h2o + nad --> accoa + fadh2 + h + lnlncgcoa + nadh)
